Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
1 st run,Chrome 67.0.3396.99,,2018-07-24 15:28:57,2018-07-24 15:29:45,47.911s,FAILED
,,,,,,
Test Cases/LoginPage,Chrome 67.0.3396.99,,2018-07-24 15:28:58,2018-07-24 15:29:12,14.308s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:28:59,2018-07-24 15:29:02,3.340s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:29:02,2018-07-24 15:29:07,5.387s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:29:07,2018-07-24 15:29:07,0.092s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:29:07,2018-07-24 15:29:08,0.093s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 15:29:08,2018-07-24 15:29:08,0.238s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:29:08,2018-07-24 15:29:12,4.350s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:29:12,2018-07-24 15:29:12,0.073s,PASSED
,,,,,,
Test Cases/Homepage,Chrome 67.0.3396.99,,2018-07-24 15:29:12,2018-07-24 15:29:44,32.290s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:29:12,2018-07-24 15:29:15,2.571s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:29:15,2018-07-24 15:29:20,5.179s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:29:20,2018-07-24 15:29:20,0.058s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-07-24 15:29:20,2018-07-24 15:29:33,13.165s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:29:33,2018-07-24 15:29:35,1.463s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:29:35,2018-07-24 15:29:36,1.314s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:29:36,2018-07-24 15:29:38,1.897s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:29:38,2018-07-24 15:29:39,1.131s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:29:39,2018-07-24 15:29:40,1.180s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:29:40,2018-07-24 15:29:40,0.079s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:29:40,2018-07-24 15:29:41,0.527s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:29:41,2018-07-24 15:29:44,3.164s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:29:44,2018-07-24 15:29:44,0.086s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:29:44,2018-07-24 15:29:44,0.327s,FAILED
